Site_No,Samp_No,Location,Analysis,CAS_NO,Analyte,Total_Or_Disolved,Result,Result_Units,Detected,Result_Qualifier,SampleDate,SampleTime,MDL,MDL_Units,Reporting_Limit,Reporting_Limit_Units,Matrix,Latitude,Longitude,QA_Comment
A8K9,A72_100115D,A72,200.7 Metals (ICP),7439-89-6,"Iron, Dissolved",D,2300,ug/L,Y,,01-Oct-15,14:10,17,ug/L,50,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115,A72,200.8 Metals (ICP/MS),7440-50-8,Copper,T,54,ug/L,Y,,01-Oct-15,14:10,0.5,ug/L,1,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115D,A72,200.8 Metals (ICP/MS),7440-39-3,Barium,T,24,ug/L,Y,,01-Oct-15,14:10,0.14,ug/L,2,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115D,A72,200.8 Metals (ICP/MS),7440-38-2,"Arsenic, Dissolved",D,0.55,ug/L,Y,J,01-Oct-15,14:10,0.37,ug/L,1,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115D,A72,200.8 Metals (ICP/MS),7440-38-2,Arsenic,T,1.8,ug/L,Y,,01-Oct-15,14:10,0.37,ug/L,1,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115D,A72,200.8 Metals (ICP/MS),7440-36-0,"Antimony, Dissolved",D,0.4,ug/L,N,U,01-Oct-15,14:10,0.4,ug/L,1,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115D,A72,200.8 Metals (ICP/MS),7440-36-0,Antimony,T,0.4,ug/L,N,U,01-Oct-15,14:10,0.4,ug/L,1,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115D,A72,200.7 Metals (ICP),7440-23-5,"Sodium, Dissolved",D,3600,ug/L,Y,,01-Oct-15,14:10,480,ug/L,1000,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115D,A72,200.7 Metals (ICP),7440-23-5,Sodium,T,3400,ug/L,Y,J+,01-Oct-15,14:10,480,ug/L,1000,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115D,A72,200.7 Metals (ICP),7440-09-7,"Potassium, Dissolved",D,1200,ug/L,Y,J+,01-Oct-15,14:10,17,ug/L,1000,ug/L,Surface Water,37.79027,-107.667578,L2 Val
A8K9,A72_100115D,A72,200.7 Metals (ICP),7440-09-7,Potassium,T,1100,ug/L,Y,J+,01-Oct-15,14:10,17,ug/L,1000,ug/L,Surface Water,37.79027,-107.667578,L2 Val
